date,lat,long
2017-08,43.02417510570916,-87.97531621580363
2018-08,43.15620655525617,-87.94656455187966
2013-08,43.16965639088737,-87.92543961477045
2015-10,43.1592776,-87.9191518
2007-07,42.97371760760415,-87.88275033543329
2011-06,42.97351520346989,-87.88274996917866
2015-10,43.12706540244284,-87.9597755614187
2017-10,43.0356037,-87.9036029
2017-08,43.0357266,-87.9023688
2011-08,42.90078432154524,-87.87209716122797
2011-08,42.9233879,-87.8619306
2011-08,42.92507522357587,-87.86190622447484
2011-08,42.9242332,-87.8619406
2011-08,42.91184530832797,-87.87887146874492
2011-08,42.9109648460693,-87.87891454548537
2011-08,42.9100262,-87.8789874
2011-08,42.9127222,-87.8788258
2011-08,42.9091527,-87.8790256
2011-08,42.9144959,-87.8787431
2017-07,42.91358790518912,-87.8787953546133
