OBJECTID,FID_OutputLines,FID_Intersections
584,9536,1646
585,9710,1771
586,9710,1772
587,9715,1169
588,9715,1170
589,9718,897
590,9718,898
591,9725,1773
592,9725,1774
593,9821,917
594,9821,918
595,9825,2327
596,9825,2328
597,9826,1941
598,9826,1942
599,9838,1763
600,9838,1764
601,9846,1737
602,9846,1738
603,9848,2319
604,9848,2320
605,9851,2159
606,9851,2160
607,9860,1945
608,9860,1946
609,9865,2645
610,9865,2646
611,10287,1367
612,10287,1368
613,10298,893
614,10298,894
615,10354,931
616,10354,932
617,10383,2145
618,10383,2146
619,10387,903
620,10387,904
621,10394,1379
622,10394,1380
623,10397,1927
624,10397,1928
625,10398,1175
626,10398,1176
627,10399,1161
628,10399,1162
629,10402,1929
630,10402,1930
631,10434,927
632,10434,928
633,10435,2157
634,10435,2158
635,10529,2669
636,10529,2670
637,10676,2683
638,10676,2684
639,10719,1375
640,10719,1376
641,10727,1533
642,10727,1534
643,10743,1539
644,10743,1540
645,10746,1931
646,10746,1932
647,10788,919
648,10788,920
649,10789,1543
650,10789,1544
651,10802,1551
652,10802,1552
653,10817,2163
654,10817,2164
655,10820,1571
656,10820,1572
657,10968,2065
658,10968,2066
659,11178,1365
660,11178,1366
661,11218,899
662,11218,900
663,11225,2313
664,11225,2314
665,11245,1749
666,11245,1750
667,11249,1759
668,11249,1760
669,11293,1181
670,11293,1182
671,11312,1745
672,11312,1746
673,11318,1747
674,11318,1748
675,11335,1061
676,11335,1062
677,11342,925
678,11342,926
679,11347,1933
680,11347,1934
681,11541,1341
682,11541,1342
683,11753,1377
684,11753,1378
685,11763,1727
686,11763,1728
687,11765,2315
688,11765,2316
689,11773,1729
690,11773,1730
691,11777,901
692,11777,902
693,11791,2725
694,11791,2726
695,11803,939
696,11803,940
697,11804,1179
698,11804,1180
699,11806,2321
700,11806,2322
701,11807,1741
702,11807,1742
703,11809,1541
704,11809,1542
705,11816,941
706,11816,942
707,11826,1185
708,11826,1186
709,11830,1183
710,11830,1184
711,11831,2325
712,11831,2326
713,11846,1189
714,11846,1190
715,11848,1177
716,11848,1178
717,11861,1555
718,11861,1556
719,11866,929
720,11866,930
721,11868,1943
722,11868,1944
723,11982,819
724,11982,820
725,12012,1275
726,12012,1276
727,12239,1535
728,12239,1536
729,12264,1373
730,12264,1374
731,12277,895
732,12277,896
733,12282,2139
734,12282,2140
735,12283,1755
736,12283,1756
737,12337,909
738,12337,910
739,12342,1743
740,12342,1744
741,12345,1937
742,12345,1938
743,12348,1935
744,12348,1936
745,12349,915
746,12349,916
747,12360,835
748,12360,836
749,12364,2155
750,12364,2156
751,12550,881
752,12550,882
753,12551,1693
754,12551,1694
755,12696,1911
756,12696,1912
757,12716,1531
758,12716,1532
759,12798,1955
760,12798,1956
761,12799,1939
762,12799,1940
763,12802,2161
764,12802,2162
765,12818,1197
766,12818,1198
767,12819,2137
768,12819,2138
769,12820,1195
770,12820,1196
771,13032,233
772,13032,234
773,13055,1879
774,13055,1880
775,13056,2767
776,13056,2768
777,13229,1653
778,13229,1654
779,13241,1171
780,13241,1172
781,13252,1537
782,13252,1538
783,13261,1735
784,13261,1736
785,13307,1775
786,13307,1776
787,13346,1001
788,13346,1002
789,13414,1253
790,13414,1254
791,13515,2689
792,13515,2690
793,13528,1483
794,13528,1484
795,13542,2809
796,13542,2810
797,13559,1721
798,13559,1722
799,13567,1545
800,13567,1546
801,13632,2827
802,13632,2828
803,13635,2111
804,13635,2112
805,13642,1149
806,13642,1150
807,13652,1951
808,13652,1952
809,13727,2837
810,13727,2838
811,13735,1529
812,13735,1530
813,13855,2753
814,13855,2754
815,13921,1757
816,13921,1758
817,13983,2743
818,13983,2744
819,13995,2849
820,13995,2850
821,14023,1351
822,14023,1352
823,14024,1163
824,14024,1164
825,14028,2063
826,14028,2064
827,14092,1641
828,14092,1642
829,14094,1501
830,14094,1502
831,14113,1723
832,14113,1724
833,14169,2805
834,14169,2806
835,14170,2305
836,14170,2306
837,14176,1503
838,14176,1504
839,14178,1715
840,14178,1716
841,14187,1025
842,14187,1026
843,14290,1155
844,14290,1156
845,14292,1231
846,14292,1232
847,14294,1619
848,14294,1620
849,14295,1607
850,14295,1608
851,14308,1229
852,14308,1230
853,14310,1621
854,14310,1622
855,14341,833
856,14341,834
857,14345,911
858,14345,912
859,14390,1055
860,14390,1056
861,14391,1187
862,14391,1188
863,14433,1257
864,14433,1258
865,14485,1481
866,14485,1482
867,14502,891
868,14502,892
869,14562,1717
870,14562,1718
871,14570,1573
872,14570,1574
873,14571,1725
874,14571,1726
875,14701,2099
876,14701,2100
877,14902,2715
878,14902,2716
879,14909,2719
880,14909,2720
881,15061,1897
882,15061,1898
883,15095,317
884,15095,318
885,15129,865
886,15129,866
887,15130,863
888,15130,864
889,15140,921
890,15140,922
891,15199,1353
892,15199,1354
893,15205,1387
894,15205,1388
895,15212,1453
896,15212,1454
897,15233,1563
898,15233,1564
