OBJECTID,Road_OBJECTID,LINEARID,Long,Lat
20505,35653,110459338101,-88.018818,43.077058
20506,17167,110459338531,-88.019347,43.077051
20507,17174,110459338531,-88.019347,43.077051
20508,32551,110459338102,-88.019347,43.077051
20509,17180,110459341433,-88.040004,43.058805
20510,17181,110459341433,-88.040004,43.058805
20511,34302,110459339156,-88.040004,43.058805
20512,17181,110459341433,-88.041228,43.058595
20513,17183,110459341433,-88.041228,43.058595
20514,32213,110459339183,-88.041228,43.058595
20515,17182,110459341433,-88.041946,43.058399
20516,17183,110459341433,-88.041946,43.058399
20517,34192,110459339204,-88.041946,43.058399
20518,17182,110459341433,-88.044092,43.057449
20519,17184,110459341433,-88.044092,43.057449
20520,31221,110459339249,-88.044092,43.057449
20521,17184,110459341433,-88.045486,43.056522
20522,17185,110459341433,-88.045486,43.056522
20523,30229,110459339267,-88.045486,43.056522
20524,17187,110459341853,-88.031428,43.095081
20525,33223,110459338386,-88.031428,43.095081
20526,33224,110459338386,-88.031428,43.095081
20527,17188,110459341853,-88.013582,43.095314
20528,17199,110459341853,-88.013582,43.095314
20529,31544,110459337999,-88.013582,43.095314
20530,17192,110459341853,-88.014912,43.0953
20531,17199,110459341853,-88.014912,43.0953
20532,35623,110459338027,-88.014912,43.0953
20533,17195,110459341853,-88.018764,43.095164
20534,17198,110459341853,-88.018764,43.095164
20535,31547,110459338095,-88.018764,43.095164
20536,17196,110459341853,-88.028979,43.095078
20537,17200,110459341853,-88.028979,43.095078
20538,31225,110459338343,-88.028979,43.095078
20539,17197,110459341853,-88.020023,43.095159
20540,17198,110459341853,-88.020023,43.095159
20541,33577,110459338142,-88.020023,43.095159
20542,17209,110459346534,-88.025877,42.990031
20543,24568,110459338314,-88.025877,42.990031
20544,24569,110459338314,-88.025877,42.990031
20545,17210,110459346534,-88.03235,42.989971
20546,26995,1102390043280,-88.03235,42.989971
20547,26996,1102390043280,-88.03235,42.989971
20548,17214,110459339076,-88.036209,42.99079
20549,29540,1102213925304,-88.036209,42.99079
20550,29541,1102213925304,-88.036209,42.99079
20551,17215,110459344051,-88.013434,42.991434
20552,17216,110459344051,-88.013434,42.991434
20553,26098,110459337990,-88.013434,42.991434
20554,17215,110459344051,-88.012521,42.991911
20555,27775,110459346801,-88.012521,42.991911
20556,27777,110459346801,-88.012521,42.991911
20557,17217,110459347007,-88.008609,43.135116
20558,17226,110459347007,-88.008609,43.135116
20559,31632,110459337930,-88.008609,43.135116
20560,17218,110459347007,-88.020695,43.135402
20561,17221,110459347007,-88.020695,43.135402
20562,37341,110459341450,-88.020695,43.135402
20563,17218,110459347007,-88.02295,43.135392
20564,36258,110459338234,-88.02295,43.135392
20565,36260,110459338234,-88.02295,43.135392
20566,17219,110459347007,-88.013091,43.135096
20567,17223,110459347007,-88.013091,43.135096
20568,37390,110459338028,-88.013091,43.135096
20569,17219,110459347007,-88.014739,43.135349
20570,17224,110459347007,-88.014739,43.135349
20571,34208,110459338052,-88.014739,43.135349
20572,17220,110459347007,-88.017257,43.135416
20573,17222,110459347007,-88.017257,43.135416
20574,35189,110459338104,-88.017257,43.135416
20575,17222,110459347007,-88.018402,43.135411
20576,17225,110459347007,-88.018402,43.135411
20577,32219,110459338137,-88.018402,43.135411
20578,17223,110459347007,-88.011808,43.135101
20579,17227,110459347007,-88.011808,43.135101
20580,34213,110459338002,-88.011808,43.135101
20581,17232,110459338835,-88.004805,43.026163
20582,17234,110459338835,-88.004805,43.026163
20583,29671,110459337816,-88.004805,43.026163
20584,17232,110459338835,-88.005987,43.026172
20585,17235,110459338835,-88.005987,43.026172
20586,27783,110459337854,-88.005987,43.026172
20587,17234,110459338835,-88.003601,43.026155
20588,17238,110459338835,-88.003601,43.026155
20589,27930,110459337794,-88.003601,43.026155
20590,17245,110459340554,-88.000702,43.106751
20591,32222,110459337738,-88.000702,43.106751
20592,32225,110459337738,-88.000702,43.106751
20593,17246,110459340554,-88.007548,43.10668
20594,18581,110459346327,-88.007548,43.10668
20595,36264,110459337889,-88.007548,43.10668
20596,17250,110459341142,-87.911858,43.049036
20597,17252,110459341142,-87.911858,43.049036
20598,30269,110459348099,-87.911858,43.049036
20599,17252,110459341142,-87.912818,43.049809
20600,17254,110459341142,-87.912818,43.049809
20601,36266,110459335899,-87.912818,43.049809
20602,17258,110459341142,-87.92256,43.050024
20603,17497,110459342265,-87.92256,43.050024
20604,34639,110459336058,-87.92256,43.050024
20605,17259,110459340016,-87.921599,43.047638
20606,33264,110459336035,-87.921599,43.047638
20607,33268,110459336035,-87.921599,43.047638
20608,17280,110459346829,-88.020881,43.120523
20609,37387,110459338177,-88.020881,43.120523
20610,37389,110459338177,-88.020881,43.120523
20611,17281,110459346829,-88.02449,43.120507
20612,17282,110459346829,-88.02449,43.120507
20613,33285,110459338270,-88.02449,43.120507
20614,17283,110459339797,-88.027206,43.117721
20615,35240,110459338318,-88.027206,43.117721
20616,35243,110459338318,-88.027206,43.117721
20617,17286,110459340560,-88.020927,43.1068
20618,17287,110459340560,-88.020927,43.1068
20619,37731,110459338166,-88.020927,43.1068
20620,17290,110459340560,-88.026041,43.106786
20621,33279,1102213930895,-88.026041,43.106786
20622,33280,1102213930895,-88.026041,43.106786
20623,17293,110459342999,-88.015979,43.107869
20624,34258,110459338074,-88.015979,43.107869
20625,34261,110459338074,-88.015979,43.107869
20626,17295,1102213788109,-88.066825,43.059935
20627,34967,1105319645539,-88.066825,43.059935
20628,34978,1105319645539,-88.066825,43.059935
20629,17296,110459342145,-88.061613,43.032234
20630,17298,110459342145,-88.061613,43.032234
20631,33306,110459339485,-88.061613,43.032234
20632,17297,110459342145,-88.065712,43.033458
20633,17299,110459342145,-88.065712,43.033458
20634,31332,110459339540,-88.065712,43.033458
20635,17301,1102213795357,-88.059785,43.032976
