OBJECTID,LINEARID,FULLNAME,RTTYP,MTFCC,LatStart,LongStart,LatEnd,LongEnd,SegLength,Shape_Length
78,1104492123841,State Hwy 36,S,S1200,42.97392,-87.957229,42.86905,-88.069586,16634.15867,0.003613513
79,1104492123841,State Hwy 36,S,S1200,42.97392,-87.957229,42.86905,-88.069586,16634.15867,0.023142133
80,1104492123841,State Hwy 36,S,S1200,42.97392,-87.957229,42.86905,-88.069586,16634.15867,0.006423564
81,1104492123841,State Hwy 36,S,S1200,42.97392,-87.957229,42.86905,-88.069586,16634.15867,0.001747464
82,1104492123841,State Hwy 36,S,S1200,42.97392,-87.957229,42.86905,-88.069586,16634.15867,0.002316642
83,1104492123841,State Hwy 36,S,S1200,42.97392,-87.957229,42.86905,-88.069586,16634.15867,0.005427255
84,1104492123841,State Hwy 36,S,S1200,42.97392,-87.957229,42.86905,-88.069586,16634.15867,0.002103232
85,1104492123841,State Hwy 36,S,S1200,42.97392,-87.957229,42.86905,-88.069586,16634.15867,0.007161266
86,1104492123841,State Hwy 36,S,S1200,42.97392,-87.957229,42.86905,-88.069586,16634.15867,0.00567586
87,1104492123841,State Hwy 36,S,S1200,42.97392,-87.957229,42.86905,-88.069586,16634.15867,0.002291682
88,1104492123841,State Hwy 36,S,S1200,42.97392,-87.957229,42.86905,-88.069586,16634.15867,0.008449587
89,1104492123841,State Hwy 36,S,S1200,42.97392,-87.957229,42.86905,-88.069586,16634.15867,0.004583212
90,1104492123841,State Hwy 36,S,S1200,42.97392,-87.957229,42.86905,-88.069586,16634.15867,0.005479929
91,1104492123841,State Hwy 36,S,S1200,42.97392,-87.957229,42.86905,-88.069586,16634.15867,0.003851357
92,1104492123841,State Hwy 36,S,S1200,42.97392,-87.957229,42.86905,-88.069586,16634.15867,0.002262613
93,1104492123841,State Hwy 36,S,S1200,42.97392,-87.957229,42.86905,-88.069586,16634.15867,0.004379487
94,1104492123841,State Hwy 36,S,S1200,42.97392,-87.957229,42.86905,-88.069586,16634.15867,0.014262494
95,1104492123841,State Hwy 36,S,S1200,42.97392,-87.957229,42.86905,-88.069586,16634.15867,0.00692454
96,1104492123841,State Hwy 36,S,S1200,42.97392,-87.957229,42.86905,-88.069586,16634.15867,0.003086759
97,1104492123841,State Hwy 36,S,S1200,42.97392,-87.957229,42.86905,-88.069586,16634.15867,0.00246313
98,1104492123841,State Hwy 36,S,S1200,42.97392,-87.957229,42.86905,-88.069586,16634.15867,0.000218753
99,1104492123841,State Hwy 36,S,S1200,42.97392,-87.957229,42.86905,-88.069586,16634.15867,0.000458957
100,1104492123841,State Hwy 36,S,S1200,42.97392,-87.957229,42.86905,-88.069586,16634.15867,0.002804288
101,1104492123841,State Hwy 36,S,S1200,42.97392,-87.957229,42.86905,-88.069586,16634.15867,0.005806951
102,1104492123841,State Hwy 36,S,S1200,42.97392,-87.957229,42.86905,-88.069586,16634.15867,0.005001307
103,1104492123841,State Hwy 36,S,S1200,42.97392,-87.957229,42.86905,-88.069586,16634.15867,0.008552297
104,1104492123841,State Hwy 36,S,S1200,42.97392,-87.957229,42.86905,-88.069586,16634.15867,0.005032383
105,1104492123841,State Hwy 36,S,S1200,42.97392,-87.957229,42.86905,-88.069586,16634.15867,0.000777413
106,1104492123841,State Hwy 36,S,S1200,42.97392,-87.957229,42.86905,-88.069586,16634.15867,0.005071055
107,1104492123841,State Hwy 36,S,S1200,42.97392,-87.957229,42.86905,-88.069586,16634.15867,0.000258503
108,1104492123841,State Hwy 36,S,S1200,42.97392,-87.957229,42.86905,-88.069586,16634.15867,0.00068317
109,1104492123841,State Hwy 36,S,S1200,42.97392,-87.957229,42.86905,-88.069586,16634.15867,0.000514995
110,1104492123841,State Hwy 36,S,S1200,42.97392,-87.957229,42.86905,-88.069586,16634.15867,0.001932476
111,110459347817,Root River Dr,M,S1400,42.912615,-87.994585,42.914163,-87.999303,496.3855954,0.000538517
112,110459347817,Root River Dr,M,S1400,42.912615,-87.994585,42.914163,-87.999303,496.3855954,0.000853346
113,110459347817,Root River Dr,M,S1400,42.912615,-87.994585,42.914163,-87.999303,496.3855954,0.003807925
114,1102209741049, , ,S1400,42.925089,-87.979236,42.924324,-87.986588,685.2551658,0.001033048
115,1102209741049, , ,S1400,42.925089,-87.979236,42.924324,-87.986588,685.2551658,0.004559569
116,1102209741049, , ,S1400,42.925089,-87.979236,42.924324,-87.986588,685.2551658,0.001944965
117,110459348812, , ,S1400,42.928986,-87.949436,42.928994,-87.955671,556.6412575,0.006235006
118,110459347429,Ridgewood Dr,M,S1400,42.901611,-88.014062,42.902687,-88.013225,174.1453885,0.001601189
119,1103663293043,Cypress Ct,M,S1400,42.917791,-87.965303,42.91687,-87.965461,114.1186952,0.000953769
120,110459346301,Foxcroft Ct,M,S1400,42.913785,-88.001749,42.912895,-88.001577,114.7260255,0.000987395
121,1104492555435,5th St,M,S1200,43.13347,-87.932422,43.148185,-87.938122,1904.7338,0.001845944
122,1104492555435,5th St,M,S1200,43.13347,-87.932422,43.148185,-87.938122,1904.7338,0.003808361
123,1104492555435,5th St,M,S1200,43.13347,-87.932422,43.148185,-87.938122,1904.7338,0.003155139
124,1104492555435,5th St,M,S1200,43.13347,-87.932422,43.148185,-87.938122,1904.7338,0.000751115
125,1104492555435,5th St,M,S1200,43.13347,-87.932422,43.148185,-87.938122,1904.7338,0.00110164
126,1104492555435,5th St,M,S1200,43.13347,-87.932422,43.148185,-87.938122,1904.7338,0.000956471
127,1104492555435,5th St,M,S1200,43.13347,-87.932422,43.148185,-87.938122,1904.7338,0.004822474
128,110459348927, , ,S1400,43.132691,-87.934329,43.132691,-87.934329,106.3758337,0.001015392
129,110459342813,Clayton Ct,M,S1400,42.889087,-88.015604,42.889317,-88.014757,80.66129128,0.000877677
130,110459348794, , ,S1400,42.891848,-87.964444,42.891957,-87.964392,14.03515366,0.000120791
131,110459348811, , ,S1400,42.893614,-87.962113,42.893739,-87.962537,40.8061075,0.000442043
132,1104487258658, , ,S1630,42.915868,-88.046515,42.916741,-88.046225,110.3266868,0.000935809
133,110459347404,Parkcrest Cir,M,S1400,42.926002,-88.043765,42.925757,-88.044621,83.07305631,0.000897233
